TransactionDate,Year,Month,Day,Weekday
2023-12-14 12:06:00,2023,12,14,Thursday
2023-12-28 01:21:00,2023,12,28,Thursday
2024-04-07 07:33:00,2024,4,7,Sunday
2024-04-20 21:43:00,2024,4,20,Saturday
2023-10-01 02:02:00,2023,10,1,Sunday
2024-03-05 20:03:00,2024,3,5,Tuesday
2023-08-17 03:13:00,2023,8,17,Thursday
2023-07-04 06:29:00,2023,7,4,Tuesday
2023-08-24 00:29:00,2023,8,24,Thursday
2023-07-02 21:45:00,2023,7,2,Sunday
2024-02-29 13:02:00,2024,2,29,Thursday
2023-05-08 21:16:00,2023,5,8,Monday
2023-09-27 19:44:00,2023,9,27,Wednesday
2023-12-09 18:09:00,2023,12,9,Saturday
2023-07-15 15:43:00,2023,7,15,Saturday
2024-01-07 06:28:00,2024,1,7,Sunday
2024-02-07 22:57:00,2024,2,7,Wednesday
2023-12-25 23:32:00,2023,12,25,Monday
2023-06-20 05:03:00,2023,6,20,Tuesday
2023-09-05 06:26:00,2023,9,5,Tuesday
2023-10-09 08:20:00,2023,10,9,Monday
2023-12-23 21:02:00,2023,12,23,Saturday
2023-08-31 12:07:00,2023,8,31,Thursday
2023-05-03 16:51:00,2023,5,3,Wednesday
2024-04-21 19:31:00,2024,4,21,Sunday
2023-08-14 07:47:00,2023,8,14,Monday
2023-08-03 11:46:00,2023,8,3,Thursday
2023-10-20 21:31:00,2023,10,20,Friday
2023-11-27 05:25:00,2023,11,27,Monday
2024-04-16 02:25:00,2024,4,16,Tuesday
2024-01-23 08:40:00,2024,1,23,Tuesday
2024-03-03 12:46:00,2024,3,3,Sunday
2023-06-06 06:38:00,2023,6,6,Tuesday
2023-10-31 17:38:00,2023,10,31,Tuesday
2023-10-10 03:38:00,2023,10,10,Tuesday
2023-06-03 02:42:00,2023,6,3,Saturday
2023-10-17 19:34:00,2023,10,17,Tuesday
2024-03-25 14:23:00,2024,3,25,Monday
2024-03-24 08:23:00,2024,3,24,Sunday
2023-10-31 01:24:00,2023,10,31,Tuesday
2024-04-26 20:15:00,2024,4,26,Friday
2024-01-23 01:52:00,2024,1,23,Tuesday
2023-05-26 07:41:00,2023,5,26,Friday
2023-06-02 23:49:00,2023,6,2,Friday
2023-11-21 00:11:00,2023,11,21,Tuesday
2023-10-19 12:31:00,2023,10,19,Thursday
2023-05-21 15:22:00,2023,5,21,Sunday
2023-05-16 15:33:00,2023,5,16,Tuesday
2023-12-17 18:05:00,2023,12,17,Sunday
2024-02-25 13:33:00,2024,2,25,Sunday
2024-01-11 09:24:00,2024,1,11,Thursday
2023-05-02 11:37:00,2023,5,2,Tuesday
2024-01-22 22:35:00,2024,1,22,Monday
2023-06-19 13:32:00,2023,6,19,Monday
2024-02-10 02:26:00,2024,2,10,Saturday
2023-11-02 05:13:00,2023,11,2,Thursday
2023-06-10 05:41:00,2023,6,10,Saturday
2023-10-24 21:47:00,2023,10,24,Tuesday
2023-07-06 00:24:00,2023,7,6,Thursday
2023-12-12 02:28:00,2023,12,12,Tuesday
2023-09-28 21:47:00,2023,9,28,Thursday
2023-12-25 04:16:00,2023,12,25,Monday
2023-09-12 14:24:00,2023,9,12,Tuesday
2023-12-27 10:57:00,2023,12,27,Wednesday
2023-06-14 22:16:00,2023,6,14,Wednesday
2023-11-03 09:55:00,2023,11,3,Friday
2023-11-29 12:23:00,2023,11,29,Wednesday
2024-02-13 17:33:00,2024,2,13,Tuesday
2024-04-19 16:44:00,2024,4,19,Friday
2023-10-28 06:28:00,2023,10,28,Saturday
2024-02-26 08:59:00,2024,2,26,Monday
2024-04-09 19:08:00,2024,4,9,Tuesday
2023-05-01 21:37:00,2023,5,1,Monday
2023-07-17 13:02:00,2023,7,17,Monday
2023-08-09 05:10:00,2023,8,9,Wednesday
2023-12-06 09:05:00,2023,12,6,Wednesday
2023-06-19 05:28:00,2023,6,19,Monday
2024-01-24 06:58:00,2024,1,24,Wednesday
2023-09-19 08:27:00,2023,9,19,Tuesday
2023-07-14 20:13:00,2023,7,14,Friday
2023-08-11 13:58:00,2023,8,11,Friday
2024-03-28 23:53:00,2024,3,28,Thursday
2024-02-07 02:52:00,2024,2,7,Wednesday
2023-10-19 14:40:00,2023,10,19,Thursday
2023-05-11 10:42:00,2023,5,11,Thursday
2024-02-29 18:09:00,2024,2,29,Thursday
2023-09-24 07:55:00,2023,9,24,Sunday
2023-06-24 19:23:00,2023,6,24,Saturday
2023-09-05 15:55:00,2023,9,5,Tuesday
2024-03-30 20:58:00,2024,3,30,Saturday
2024-03-06 13:53:00,2024,3,6,Wednesday
2023-05-08 12:32:00,2023,5,8,Monday
2023-11-04 21:43:00,2023,11,4,Saturday
2024-02-03 06:27:00,2024,2,3,Saturday
2023-12-15 09:09:00,2023,12,15,Friday
2023-07-16 14:47:00,2023,7,16,Sunday
2023-09-17 13:53:00,2023,9,17,Sunday
2023-05-04 00:24:00,2023,5,4,Thursday
2023-06-29 02:28:00,2023,6,29,Thursday
2024-04-17 16:09:00,2024,4,17,Wednesday
2024-02-01 09:50:00,2024,2,1,Thursday
2023-05-17 23:10:00,2023,5,17,Wednesday
2023-08-07 12:55:00,2023,8,7,Monday
2023-10-19 02:25:00,2023,10,19,Thursday
2024-03-17 15:47:00,2024,3,17,Sunday
2023-11-12 21:17:00,2023,11,12,Sunday
2023-11-05 21:17:00,2023,11,5,Sunday
2023-07-09 14:25:00,2023,7,9,Sunday
2023-07-16 08:43:00,2023,7,16,Sunday
2023-07-27 23:56:00,2023,7,27,Thursday
2023-07-25 18:05:00,2023,7,25,Tuesday
2023-06-16 12:45:00,2023,6,16,Friday
2023-11-07 05:16:00,2023,11,7,Tuesday
2023-12-15 08:42:00,2023,12,15,Friday
2023-08-18 01:12:00,2023,8,18,Friday
2024-01-13 06:47:00,2024,1,13,Saturday
2024-01-16 05:01:00,2024,1,16,Tuesday
2023-05-12 05:42:00,2023,5,12,Friday
2023-12-20 22:21:00,2023,12,20,Wednesday
2023-11-13 23:53:00,2023,11,13,Monday
2024-01-01 18:23:00,2024,1,1,Monday
2023-07-06 19:25:00,2023,7,6,Thursday
2023-09-24 19:01:00,2023,9,24,Sunday
2023-09-30 02:35:00,2023,9,30,Saturday
2023-07-18 19:14:00,2023,7,18,Tuesday
2023-07-16 14:44:00,2023,7,16,Sunday
2023-12-06 05:03:00,2023,12,6,Wednesday
2024-02-19 08:00:00,2024,2,19,Monday
2023-10-12 09:05:00,2023,10,12,Thursday
2024-04-16 19:18:00,2024,4,16,Tuesday
2023-10-22 02:27:00,2023,10,22,Sunday
2024-02-21 07:37:00,2024,2,21,Wednesday
2023-12-08 23:26:00,2023,12,8,Friday
2023-12-16 18:07:00,2023,12,16,Saturday
2023-05-31 06:52:00,2023,5,31,Wednesday
2023-08-02 21:17:00,2023,8,2,Wednesday
2023-08-08 00:10:00,2023,8,8,Tuesday
2023-09-15 01:04:00,2023,9,15,Friday
2024-03-18 08:59:00,2024,3,18,Monday
2023-10-03 00:50:00,2023,10,3,Tuesday
2023-09-26 19:52:00,2023,9,26,Tuesday
2023-11-05 13:49:00,2023,11,5,Sunday
2024-04-11 11:13:00,2024,4,11,Thursday
2023-06-11 06:03:00,2023,6,11,Sunday
2023-09-12 17:53:00,2023,9,12,Tuesday
2024-04-04 22:43:00,2024,4,4,Thursday
2023-11-09 23:44:00,2023,11,9,Thursday
2024-03-19 21:41:00,2024,3,19,Tuesday
2023-05-13 21:48:00,2023,5,13,Saturday
2023-11-04 15:35:00,2023,11,4,Saturday
2023-12-01 05:44:00,2023,12,1,Friday
2024-03-23 07:12:00,2024,3,23,Saturday
2024-04-12 07:58:00,2024,4,12,Friday
2023-08-07 21:54:00,2023,8,7,Monday
2023-10-02 11:46:00,2023,10,2,Monday
2023-11-29 15:21:00,2023,11,29,Wednesday
2023-07-02 23:13:00,2023,7,2,Sunday
2023-10-25 19:43:00,2023,10,25,Wednesday
2023-07-09 08:26:00,2023,7,9,Sunday
2023-04-30 05:06:00,2023,4,30,Sunday
2023-11-12 23:08:00,2023,11,12,Sunday
2023-08-23 11:24:00,2023,8,23,Wednesday
2024-02-14 08:17:00,2024,2,14,Wednesday
2024-03-11 11:16:00,2024,3,11,Monday
2023-09-05 01:34:00,2023,9,5,Tuesday
2024-02-03 17:26:00,2024,2,3,Saturday
2023-11-19 09:44:00,2023,11,19,Sunday
2023-09-08 22:49:00,2023,9,8,Friday
2023-09-27 11:32:00,2023,9,27,Wednesday
2023-12-18 22:09:00,2023,12,18,Monday
2024-03-31 09:06:00,2024,3,31,Sunday
2024-04-03 15:56:00,2024,4,3,Wednesday
2023-10-13 10:48:00,2023,10,13,Friday
2024-03-18 21:37:00,2024,3,18,Monday
2024-02-04 07:25:00,2024,2,4,Sunday
2024-01-30 06:21:00,2024,1,30,Tuesday
2024-01-25 09:02:00,2024,1,25,Thursday
2023-10-21 11:55:00,2023,10,21,Saturday
2023-07-22 06:20:00,2023,7,22,Saturday
2024-04-02 02:44:00,2024,4,2,Tuesday
2024-02-29 15:24:00,2024,2,29,Thursday
2023-06-03 04:23:00,2023,6,3,Saturday
2024-03-28 11:23:00,2024,3,28,Thursday
2023-09-22 12:52:00,2023,9,22,Friday
2024-02-13 05:50:00,2024,2,13,Tuesday
2023-07-25 01:54:00,2023,7,25,Tuesday
2023-08-03 16:56:00,2023,8,3,Thursday
2024-03-16 03:17:00,2024,3,16,Saturday
2023-06-09 17:17:00,2023,6,9,Friday
2023-07-08 12:03:00,2023,7,8,Saturday
2024-01-24 16:22:00,2024,1,24,Wednesday
2024-01-14 03:28:00,2024,1,14,Sunday
2023-06-27 18:31:00,2023,6,27,Tuesday
2023-10-07 11:57:00,2023,10,7,Saturday
2024-02-11 01:14:00,2024,2,11,Sunday
2023-08-10 18:49:00,2023,8,10,Thursday
2023-07-21 00:04:00,2023,7,21,Friday
2023-05-08 06:23:00,2023,5,8,Monday
2024-03-27 20:37:00,2024,3,27,Wednesday
2023-08-11 14:46:00,2023,8,11,Friday
2023-08-16 21:42:00,2023,8,16,Wednesday
2023-12-09 07:31:00,2023,12,9,Saturday
2023-09-25 23:21:00,2023,9,25,Monday
2024-02-26 13:39:00,2024,2,26,Monday
2024-03-31 01:03:00,2024,3,31,Sunday
2023-11-03 03:43:00,2023,11,3,Friday
2023-07-04 21:04:00,2023,7,4,Tuesday
2024-04-04 04:57:00,2024,4,4,Thursday
2023-10-14 17:01:00,2023,10,14,Saturday
2023-08-07 19:17:00,2023,8,7,Monday
2023-08-20 02:01:00,2023,8,20,Sunday
2023-12-12 23:07:00,2023,12,12,Tuesday
2023-10-31 21:44:00,2023,10,31,Tuesday
